Text,Category
"ｄフォトの使い方電話が全く繋がらないのでメールします

パソコンでアップロードした写真がｉＰａｄ　で見ることができません。新しく作ったアルバムもｉＰａｄでは表示されません。どのようにすればよいですか？

パソコンでアルバムを新しく作るとアルバム名がひらがなしか入力できませんでした。漢字などに変換する方法を教えてください",操作説明
"【機種】ｉＰｈｏｎｅＳＥ（第２世代）ｉＯＳ１３．６．１【カテゴリ】ｄフォト【事象の概要】ｄフォトプリントアプリで「フォトブックを作る」を押下すると未契約の画面になる。【発生日時】／　：【再発有無】初事象【解決方法】ｄアカウント設定アプリにｄフォト契約があるアカウントでログインすることで改善。
０８０１",ログイントラブル
"【機種】ＳＣ０４Ｊ　８．０．０　ＴＧ１【カテゴリ】トラ）メーカアプリ　ｄフォト　フォト　【事象の概要】再起動したら写真一部が消えたものがあるギャラリー・フォト・ｄフォトに消えた写真はなし［発生手順］再起動［エラー文言］［発生日時］／　：［再発有無］初事象／再発［事象発生のきっかけ］［発生環境］パケット通信・Ｗｉ－Ｆｉ［発生頻度］［トラブルシューティング］ＳＤカードの挿入したが不明ＳＤカードは本体に認識なし、未挿入ＳＤカードを有無確認するも、電源落とすと写真が消えることに懸念現在の写真をクラウドに預けることを希望ｄフォトのお預け案内　Ｗｉ－Ｆｉなし・パケット通信料了承ｄフォトに写真が預かった上で、ＳＤカードの有無確認依頼ＳＤカードがある場合、ＳＤの問題か本体の問題が切り分けＳＤカードがない場合、データは消滅の可能性案内ＳＤの問題か、本体の問題か確認の為再入電の可能性あり
１２０３",操作説明
"【機種】Ｆ－４１Ａ（ＡＲＢｅ４）ビルド６３Ｃ　　ＯＳ　１０【カテゴリ】ｄフォト【事象の概要】アップロード日を確認する方法はあるか。【発生日時】／　：
１２０２",サービス案内
"【機種】Ｆ－０１Ｋ　【カテゴリ】トラ）ｄフォト【事象の概要】写真を削除しても元に戻ってくる［発生手順］ｄフォトの全ての写真から写真を選択して削除時間が経つと写真が戻っている（端末フォルダの１００ＦＪＤＣＦに有）［エラー文言］［発生日時］／　：［再発有無］初事象［事象発生のきっかけ］不明［発生環境］・発生機種［発生頻度］［トラブルシューティング］
・Ｇｏｏｇｌｅフォトには該当の写真無し
・ファイルマネージャーからＳＤカード内（ＤＣＩＭ／１００ＦＪＤＣＦ）に写真データが残っていることを確認⇒削除
１３０２",操作説明
"【機種】機種不明【カテゴリ】トラ）ｄフォト【事象の概要】Ｌ版プリントの上限枚数の残して申し込んだ場合、残りの枚数は翌月にも繰り越されるのか【発生日時】／　：【再発有無】初事象［外部機器］
０２０２",サービス案内
"【機種】Ｓ０－０２Ｈ　ａｎｄｒｏｉｄ［ユーザー］【カテゴリ】トラ）ｄフォト【事象の概要】ｄフォトアプリ上にて選択して写真のほうの削除ボタンを押すと「処理中にエラーが発生しました」と出てきてしまい削除の動作ができないので改善したい。（アプリ最新、ｗｉ－ｆｉモバイルデータ通信どちらでも同様のエラーが発生、ブラウザ版のほうでは削除のほうができることを確認済み、ｄアカウント設定確認済み）【発生日時】／【再発有無】［外部機器］

０９０７",操作説明
本体にある写真（以前の携帯から引継ぎしたもの）をｄフォトに預けたい。,操作説明
ｉＰｈｏｎｅＸＳＭａｘを２台利用中　ｉＯＳ１４．１とｉＯＳ１４．２ｄフォトで一部のデータがクラウドにアップデートできない。,操作説明
"【機種】ＳＯ－０２Ｌ（ＸＡｃｅ）４０９　ビルド最新　【カテゴリ】トラ）▲その他端末機能【事象の概要】アルバム、フォト、ｄフォトで写真を閲覧できない。［発生手順］アルバムを開く＞何も写真が表示されない。メニューを開くと何も表示されない。フォトを開く＞写真の読み込みが開始され、アプリが強制終了する。ｄフォト＞写真が読み込まれない。自動バックアップは通知からされている模様。［エラー文言］［発生日時］［再発有無］初事象［事象発生のきっかけ］交換しても改善なし。交換時はＧｏｏｇｌｅアカウントログインし、ＳＤカードからデータコピーでバックアップを復元した。［発生環境］パケット通信・ＳＩＭあり・発生機種［発生頻度］常時［トラブルシューティング］Ｃｈｒｏｍｅ、Ａｎｄｒｏｉｄ　［ユーザー］　ＷｅｂＶｉｅｗ、アルバム、フォト最新・空き容量あり・フォト、アルバムのデータ消去・アプリの設定リセット・ユーザー補助、デバイス管理機能確認・セーフモード・ＤＣＩＭ内の写真全てをＳＤカードに移行してＳＤカードを抜く・Ｐｉｃｔｕｒｅｓには「（数字）＿ｔａｋｅｎ＿ｗｉｔｈ＿ｘｐｅｒｉａ．ｊｐｇ」の数字違いの写真が複数あり＞削除できない・初期化してＧｏｏｇｌｅアカウントログインせず、データコピーで復元しない状態で確認いただく
０６０２",操作説明
"【機種】ｉＰｈｏｎｅＸＳ　Ｍａｘ【カテゴリ】ｄフォト　【事象の概要】
・ｄフォトで今何Ｇ利用しているか？
・２０１９年１１月～２０２０年３月までの写真が表示されない。
・ｄフォトを開くと左下に表示されるマークは何か？【発生日時】／　：
２２１２",操作説明
ｄフォトアプリとｄフォトプリントアプリが別々になったせいで余計使いづらくなった。改善して欲しい。,アプリが使いにくい
"【機種】ｉＰｈｏｎｅ７　ｉＯＳ１４．１【カテゴリ】ｄフォト【事象の概要】「フォトブックの作成」をタップすると「ｄ－１３４　認証エラー」と表示される。【発生日時】１１／１４　９：００【再発有無】初事象【解決方法】ｄアカウントの入れ直しを行い解決。
１２０２",ログイントラブル
"【機種】ＳＨ－０２Ｍ【カテゴリ】Ｇｏｏｇｌｅ　Ｐｌａｙｄフォト【事象の概要】［人名］のアプリをインストールするには？ｄフォトプリントを利用している写真の位置調整をするには？【発生日時】／　：【再発有無】
０６０１",操作説明
ｉＰｈｏｎｅＸｓＭＡＸでｄフォトアプリからＬＩＮＥやメールに写真を共有しようとすると出来るものと出来ないものがある。何故か。また改善方法を知りたい。,操作説明
ｄ－０１Ｋ：ｄフォトでプリントする際、端末内のフォルダ毎に写真を探せるようにしてほしい。枚数が多いと探しづらい。,その他
"【機種】ｄ－０１Ｊ【カテゴリ】トラ）空き容量不足　【事象の概要】空き容量低下の通知が来たのでｄフォトから写真を削除しているが、しばらく経つと消した写真が戻ってきてしまう。容量を空けたい。［発生手順］［エラー文言］［発生日時］／　：［再発有無］初事象［事象発生のきっかけ］［発生環境］発生機種［発生頻度］常時［トラブルシューティング］ＳＤカードを抜いた上で、ギャラリーアプリから削除して頂くようご案内。
１１０５",操作説明
"【機種】ｉＰｈｏｎｅ７以前　【カテゴリ】▲その他端末機能　【事象の概要】ｄフォトで動画を一括でＤＬ出来ない【発生日時】／　：
１１０２",操作説明
もっと分かりやすく、簡潔にできるようにして欲しい。Ｄフォトが取り込めない画像があったり、コールセンターの対応が雑。店舗の方が、もっといい方で分かりやすくて親身【お客様アンケート(DS)】,アプリが使いにくい
"【機種】ＳＣ－０２Ｋ（Ｓ９）【カテゴリ】ｄフォト【事象の概要】フォトブック注文時における各写真の日付を消したい。【発生日時】／　：
０４０３",操作説明
"【機種】ｉＰａｄ全般【カテゴリ】トラ）ｄフォト　【事象の概要】表示されない古い写真がある。元に戻したい。【発生日時】１１／１３　：【再発有無】初事象［外部機器］
１４０５",操作説明
"【機種】ｉＰｈｏｎｅ８　【カテゴリ】ｄフォト【事象の概要】ｄフォトプリントアプリを起動すると「ｄ１３４」「認証できませんでした」とエラーが表示され利用できない【発生日時】／　：【再発有無】初事象【解決方法】ｄアカウント設定アプリからｄアカウントの設定をし直し解決
０７０４",ログイントラブル
"【お客様情報】
・携帯電話番号、フルネーム聴取　本人確認未実施。【問合せ内容】
・Ｄフォトを開くと「処理中でう。エラーが発生しました」と表示が出た。
・電源の入れ直ししても改善しなかった。【リセット・設定改善状況】
・Ｗｉ－Ｆｉをオフにしてｄｏｃｏｍｏの電波で通信したところ事象改善。【回答】
・Ｗｉ－Ｆｉに問題があった可能性をお伝えし、終話。【ＣＡＴ　Ｎｏ．】３事象SO-41A Xperia 10 Ⅱ,E: ﾄﾞｺﾓ提供・提携ｱﾌﾟﾘ関連",ログイントラブル
"【機種】ＳＣ－０２Ｍ（Ａ２０）ＯＳ１０　ビルド最新【カテゴリ】トラ）▲その他端末機能【事象の概要】２００～３００枚程あった写真や動画が消えてしまい、１０枚程度しか残っていない。［発生手順］ギャラリーアプリ起動⇒事象発生［エラー文言］［発生日時］１１／１２　２０：３０～２１：００［再発有無］初事象［事象発生のきっかけ］ソフトウェアアップデート後から［発生環境］パケット通信・Ｗｉ－Ｆｉ・ＳＩＭあり・発生機種［発生頻度］毎回［トラブルシューティング］
・再起動
・「ＳＤカードが破損しています」が表示される
・ＳＤカード入れ直し改善なし
・ｄフォトアプリ内にクラウド保存さえている写真や動画なし
・Ｇｏｏｇｌｅフォト内にクラウド保存さえている写真や動画なし
・別のスマートフォン／ＰＣなど、ＳＤカードを読み込める端末に接続した場合どうなるか確認して頂く事を提案
１００１",操作説明
"【機種】ｉＰｈｏｎｅ７　１３．７【カテゴリ】ｄフォト【事象の概要】ｄフォトプリントアプリで、Ｄ１３４と表示され利用できない。【発生日時】／　：【再発有無】初事象【解決方法】入れ直しで改善。
０４０３",ログイントラブル
"【機種】ｉＰｈｏｎｅ　Ｘ／１３．６【カテゴリ】ｄフォト【事象の概要】ｄフォトプリントアプリを利用しようとするとエラー「Ｄ１３４」になり利用できない【発生日時】／　：【再発有無】初事象【解決方法】ｄアカウント設定アプリインストール後、認証状態が無効のＩＤを解除／再設定し改善
０７０１",ログイントラブル
ｄフォトを契約していた様に思うのですが、契約状況を教えて下さい。ｉＰｈｏｎｅ,その他
"【機種】ＳＣ－０２Ｋ（Ｓ９）ＳＣ５４Ａ　ＳＣ５１Ａ　【カテゴリ】フォト　▲その他ｄ系アプリ　ｄフォト　ＢＩＸＢＹ　ＨＯＭＥを非表示にしたいＲＡＭを確認したい【事象の概要】クラウド上のデータをダウンロードしたい【発生日時】／　：
１２０３",操作説明
"【機種】Ｆ－０１Ｌ（らくらくｍｅ）【カテゴリ】ｄフォト【事象の概要】「実行中」の通知がずっと表示されたまま消えない【発生日時】／　：【再発有無】再発【解決方法】強制停止で解決
０７０１",操作説明
"【機種】ＳＯ－０２Ｋ（ＸＺ１Ｃｏｍ）【カテゴリ】ｄフォト【事象の概要】お預け機能が利用できない。写真を選択してお預かり保存を選択すると読み込み中のまま進まない。【発生日時】１１／９　：【再発有無】初事象【解決方法】ｄフォトのキャッシュ削除強制停止と再起動を行っていただき改善。
１２０６",操作説明
"【機種】ＳＯ－０３Ｊ／ＯＳ８．０／ビルド最新【カテゴリ】ｄフォト【事象の概要】フォトＢＯＯＫ注文したお届け先確認画面で住所の表示がでないので出るようにしたい。【発生日時】／　：【再発有無】初事象【解決方法】お届け先の追加／確認／編集から再度登録しなおして解決。
１３０６",その他
"【機種】ＳＣ－０２Ｌ（Ｆｅｅｌ）ビルド最新【カテゴリ】トラ）ｄフォトデータ保管ＢＯＸ　【事象の概要】データ保管ＢＯＸからｄフォトに動画写真を移したいが連携アプリがグレーアウトしているのは何故か。連携アプリを押すと「連携アプリから制限されているため閲覧できません」と表示される［発生手順］［エラー文言］ポップアップ画面［発生日時］１１／１２１５　：０３［再発有無］初事象［事象発生のきっかけ］［発生環境］パケット通信・Ｗｉ－Ｆｉ・ＳＩＭあり・発生機種［発生頻度］［トラブルシューティング］再起動・強制停止・キャッシュクリア・ユーザー補助にサードパーティなし・デバイス管理機能にサードパーティなし・無効アプリなし・空き容量問題なし・ＰＣだと複数選択できる口頭案内のみ・ｄフォトには本体もクラウドもファイルなし
１３０３",操作説明
"【機種】Ｆ－０３Ｋ（らくらくｍｅ）【カテゴリ】空き容量不足【事象の概要】空き容量不足でメッセージが表示される【発生日時】【再発有無】初事象【解決方法】ｄフォトアプリをアンインストール
０６０６",操作説明
"【機種】ＳＨ－０１Ｋ（ＡＱｓｅｎｓｅ）／ＯＳ９．０／ビルド０５【カテゴリ】ｄフォトＳＷ更新概要・方法　【事象の概要】思い出通知をＯＮにしているがアプリを開いて閉じないと通知が届かない。ＳＷが最新なのに更新案内が毎日届く。通知を選択するとＳＷは最新ですと表示。【発生日時】／　：【再発有無】初事象【解決方法】データセーバーがＯＮのためｄフォトを無制限アクセス側へ変更。ソフトウェアアプリのキャッシュ消去と強制停止。
０６０５",操作説明
"【機種】Ｆ－０３Ｋ（らくらくｍｅ）【カテゴリ】トラ）フォトＧｏｏｇｌｅ検索（Ｇｏｏｇｌｅアプリ）【事象の概要】アルバムの整理をしようとして誤って写真をいくつか消してしまった。ＳＤカードなし、ｄフォト利用なしだが他に写真はある可能性があるか？またｇｏｏｇｌｅ音声検索など全体的に動作が遅い［発生手順］［エラー文言］［発生日時］／　：［再発有無］初事象［事象発生のきっかけ］［発生環境］［発生頻度］［トラブルシューティング］再起動・空き容量問題なし
０９０２",操作説明
"【機種】ｉＰｈｏｎｅ８【カテゴリ】トラ）ｄフォト【事象の概要】１０／１４以降の写真が出ない【発生日時】／　：【再発有無】初事象／再発［外部機器］
１１０２",操作説明
ドコモが、好きだから。値段が、安ければもっとよい。ｄフォトが、新しいの、あまり評判よくないのに、かえないと使えないと言われたのは、ショックだったが。だから、かえなかったのに。【お客様アンケート(IC)】,その他
ｄフォトが半年くらい前から急に使えなくなりました。何度開いてもＤ１３４認証エラーと出てしまい次に進めません。一度消して、再度インストールしても同じでした。改善方法を教えて頂きたいです。ｉＰｈｏｎｅ,ログイントラブル
ｄフォトプリントアプリになってから、プリントしたい写真をアップロードしなくてはならなくなったので、手間が増えた。以前のように預けているデータをそのまま使えるようにしてほしい。【お客様アンケート(DS)】,アプリが使いにくい
Ｄフォトが使えません。Ｄ１３４認識エラーと表示されますが、どうしたらよいでしょうか？また、このメールで問い合わせする画面に到達するまでかなり手間がかかりました。メール問い合わせくらいはｍｙ　ｄｏｃｏｍｏからすぐに入れるようにしてください。ｉｐｈｏｎ　ＳＥ,ログイントラブル
"ｄフォトを契約中ですがｄフォトプリントのアプリを起動しログインしようとしたらＤ１３４認識エラー接続できませんでした。入力内容に誤りがあります。ご確認の上、もう一度お試し下さい。

このようなエラーが出てログインできません。アプリを消してインストール直してもダメでした。その他の項目を押しても同様のエラーが出て何もできません。どうすればいいですか教えてください。ｉＰｈｏｎｅ８",ログイントラブル
"【機種】ｉＰａｄ【カテゴリ】ｄフォト【事象の概要】端末内の写真が一切読み込めない【発生日時】／　：【再発有無】初事象／【解決方法】アプリ入れ直しで改善
１４０４",操作説明
"【機種】ＳＯ－０１Ｍ（Ｘ５）ＯＳ１０　ビルド末４４２【カテゴリ】トラ）ｄフォト　【事象の概要】Ｗｉ－Ｆｉ環境でｄフォト内の自動お預かり設定をＯＮにしても雲のマークに斜線が入っている［発生手順］自動お預かりＯＮにした後［エラー文言］［発生日時］／　：［再発有無］初事象［事象発生のきっかけ］［発生環境］パケット通信・Ｗｉ－Ｆｉ・ＳＩＭあり［発生頻度］常時［トラブルシューティング］ｄアカウント再設定で様子見
０７０５",操作説明
携帯番号を変更した場合、ｄフォトのデータは消えてしまいますか？,サービス案内
"【機種】ｉＰｈｏｎｅ８Ｐｌｕｓ【カテゴリ】ｄフォト【事象の概要】お預かり写真はｄフォト上にあるがｄフォトプリントアプリでは写真がありませんと出てくる【発生日時】／　：【再発有無】初事象【解決方法】ｄアカウントロック解除しｄアカウント設定アプリダウンロードし改善
０４０２",操作説明
"【機種】ｉＰｈｏｎｅ７以前【カテゴリ】ｄフォト【事象の概要】
２０１９／４　以降の画像が表示されない。写真アプリでは全て表示されている【発生日時】１１／１１　：【再発有無】初事象【解決方法】アプリ入れ直しで改善
１１０１",操作説明
"【機種】ｉＰｈｏｎｅ１１　【カテゴリ】その他ドコモ提供アプリ　ｄフォトプリント【事象の概要】ログインができず、エラーｄ１３４が表示される。
■社内問い合わせ遠隔大阪センター
０９０３",ログイントラブル
"【機種】ｉＰｈｏｎｅ１２【カテゴリ】ｄフォト【事象の概要】ｄフォトアプリの「全ての写真」に端末内「写真」アプリで確認できてる画像が一枚も表示されない【発生日時】／　：【再発有無】初事象／再発【解決方法】端末設定→ｄフォト→写真→全ての写真で改善
０４０１",操作説明
"【機種】ｉＰｈｏｎｅ７　ＩＯＳ：１４．１【カテゴリ】ｄフォト【事象の概要】最近撮影した写真がアプリで表示されない。ｉＰｈｏｎｅの写真アプリには表示される。【発生日時】１１／１１【再発有無】初事象【解決方法】設定→ｄフォト→写真→「選択した写真」を「すべての写真」に変更し解決
１４０２",操作説明
"【機種】Ｊシリーズ（ＳＯ－０４Ｊ）ＯＳ９．０【カテゴリ】ｄフォト　【事象の概要】一部の写真がアップロードできない。【発生日時】／　：【再発有無】初事象【解決方法】データ消去
０５０１",操作説明
"【機種】ｉＰｈｏｎｅ８【カテゴリ】ｄフォト【事象の概要】ｄフォトアプリ起動＞メニュー＞端末フォルダの中に１１月以降に撮影した写真がない。ｉＰｈｏｎｅの写真アプリ内にはある。【発生日時】／　：【再発有無】初事象／再発【解決方法】ｄフォトアプリの入れなおしで改善
０２０４",操作説明
ギャラリーにていてですが写真をＤフォトに共有押しても、Ｄフォトに移行しない？共有タップしても音がすぐ消えてしまいます？ギャラクシー側に問合せしたら、提供もとに連絡して下さいとのことです。ＧＡＬＡＸＹＡ２０,操作説明
ｄフォトプリントを契約していて、フォトブックを作成したいのですが、「Ｄ１３４　認証エラー」「処理中にエラーが発生しました。しばらくしてから再度ご利用ください。」が出てしまいます。何回やってもエラーになります。メニューも開けず、こちらでは何もできなく大変困っています。対処方法もしくは解約の方法を教えてください。有料で契約しているので至急お願いします。,ログイントラブル
"【ご要望】

ｄフォトプリントサービス利用中。フォトブックを注文してトリミングもきちんとしたのに、被写体が全部映っておらず、端のほうが見切れている。仕様ということで今回は諦めるが、なぜこんな利用者にとってデメリットにしかならない仕様を放置しておくのか？楽しみに作っている顧客の気持ちを考えて欲しい。トリミングしたらトリミングした分だけきっちりと印刷して届けてもらえるように改善してほしい。",その他
"【機種】ＳＣ－０３Ｊ　９【カテゴリ】ｄフォト　【事象の概要】アップデートするとダウンロード待ちとなりアップデートできない【発生日時】／　：【再発有無】初事象【解決方法】ｄアカウント設定で再設定行いｄフォトとｄフォトプリントをインストールし解決
０７０３",操作説明
ｄフォトで、１度に複数のアルバムを頼む際は、梱包も送料も１つにまとめてほしい【お客様アンケート(IC)】,その他
"【機種】ＳＣ－０１Ｍ（Ｇｎｏｔｅ１０＋）【カテゴリ】ｄフォト【事象の概要】お預かり写真から内部ストレージに写真をダウンロードしたい【発生日時】／　：【再発有無】初事象【解決方法】ダウンロード方法をご案内

０３０２",操作説明
ｄフォトが最悪。対応もお役所仕事のように、マニュアルにのっとった対応のみで、客の困ったに耳を貸さず臨機応変な対応が出来ないから、ドコモ全般最低。【お客様アンケート(IC)】,その他
"【機種】Ｌ－４１Ａ（ＳＴＹＬＥ３【カテゴリ】ｄフォト　【事象の概要】マイギャラリーのデータはクラウドにデータが無くても再注文可能か？【発生日時】／　：遠隔なかのセンター
１２０３",サービス案内
ＳＣ－５４Ａでｄフォトプリントアプリの操作について。,操作説明
"【機種】ｉＰｈｏｎｅＳＥ（第２世代）１４．２【カテゴリ】ｄフォト　【事象の概要】ｄフォトアプリで、ｉＰｈｏｎｅの写真を預けようとすると、「ファイルなし」とのエラーで預けられない。【発生日時】／　：【再発有無】初事象【解決方法】ｉＣｌｏｕｄからオリジナルをダウンロードして改善
１２０１",操作説明
"【機種】ｉＰｈｏｎｅ８【カテゴリ】ｄフォト【事象の概要】ｄフォトアプリ内の「すべて」に７月以降の写真が表示されず、アップロードも出来ない。【発生日時】／　：【再発有無】初事象【解決方法】ｄフォトアプリ再インストール
０９０１",操作説明
"【機種】ｉＰｈｏｎｅ７以前【カテゴリ】ｄフォト【事象の概要】ｄフォトプリントにログインできない　Ｄ１３４【発生日時】／　：【再発有無】初事象／再発【解決方法】ｄアカウント設定アプリ＞入手＞ｄアカウントは使用できません＞解除再設定で改善
１４０３",ログイントラブル
"【機種】ＳＨ－０１Ｋ（ＡＱｓｅｎｓｅ）／ＯＳ７．１．２／ビルド０３【カテゴリ】Ｇｏｏｇｌｅ（その他プリインアプリ）、ｄフォト【事象の概要】Ｇｏｏｇｌｅドライブへ同期・保存した際に情報漏えいのリスクは増えるか。ｄフォトを開くと通信エラーが出る。【発生日時】／　：【解決方法】Ｇｏｏｇｌｅドライブの概要を案内。ｄフォトはアップデート実施し画面遷移を確認。
０６０５",ログイントラブル
"ｄフォトのサービス機能を追加してほしい。
・写真だけでなく複数の動画をつなぎ合わせてムービーを作成し、ＤＶＤとして欲しい。
・ポストカード仕様のものも作って欲しい。（メッセージの書き込みしやすい質感や、住所記入欄など。）

上記２点、お客様よりご希望がありましたので、共有させていただきます。",その他
"【機種】ＳＣ０２Ｈ　【カテゴリ】ｄフォト　【事象の概要】プリントアプリでプリントしようとすると「Ｍ１１００６５」の表示が表示され注文できない【発生日時】／　：【再発有無】初事象／再発【解決方法】タスク切って再起動で改善
１２０３",操作説明
"【機種】ＳＨ－０２Ｍ（ＡＱｓｅｎｓｅ３）【カテゴリ】フォト　【事象の概要】ｄフォト消したらフォトの写真消えるか【発生日時】／　：
１１０２",操作説明
"【機種】ｉＰｈｏｎｅ機種不明【カテゴリ】ｄフォト【事象の概要】ｄフォトプリントアプリ⇒フォトブック⇒一覧に表示される写真に所々マーク（▲の中に！）があるがこれはなにか？【発生日時】／　：
０４０３",操作説明
ｄフォトについてですが、ｄフォトのアプリとプリント用のアプリの２つに分ける必要はなかったと思います。今までどおり１つにまとめたほうがお客様も扱いやすくなり、スタッフも案内しやすくなると思います。,アプリが使いにくい
"【機種】ＳＨ－０４Ｌ（ＡＱＲ３）【カテゴリ】データ移行【事象の概要】ＳＤカードに画像データを移行したい。移行したい画像はｄフォト／フォトのクラウドにある。【解決方法】ｄフォトから該当の写真を本体にダウンロード＞Ｆｉｌｅｓとり本体＞ＳＤカードへのコピー方法を案内。
０１０５",操作説明
"【機種】ＳＨ－０１Ｌ（ＡＱ　ｓｅｎｓｅ２）１０【カテゴリ】ｄフォト　【事象の概要】ｄフォトをアンインストールして再インストールしたあと開く際「処理中にエラー」と出てログインできない。／Ｆｉｌｅｓのアプリで内部ストレージとＳＤカードを分けて見る方法。【発生日時】／　：【再発有無】初事象【解決方法】Ｗｉ－ＦｉＯＦＦにして４Ｇで開きなおしていただき改善。
０１０２",ログイントラブル
"【機種】ＳＯ－５１Ａ（１Ⅱ）【カテゴリ】トラ）ｄフォト【事象の概要】ｄフォトの撮影年月順ソートですべての写真を見ると「１９７０年１月１０日～２３日」として明らかに誤っている日付で表示されている写真があるのを直したい。【発生日時】１１／９　：【再発有無】初事象［外部機器］
１２０６",操作説明
"【機種】ｉＰｈｏｎｅ８【カテゴリ】ｄフォト【事象の概要】ｄフォトプリントアプリにてｄアカウントの認証エラー（Ｄ－１３４）が表示されログインできない。【発生日時】／　：【再発有無】初事象【解決方法】ｄアカウント設定アプリからログインし改善
０１０５",ログイントラブル
"【機種】ＳＯ－４１Ａ（１０Ⅱ）【カテゴリ】ｄフォト　【事象の概要】お預かり保存をタップしてもアップロードされない。【発生日時】今月【再発有無】初事象【解決方法】ｄアカウント設定を再認証で改善。
０６０２",操作説明
Ｄ　フォト　の容量をＧｏｏｇｌｅフォトのように無限にしてほしい【お客様アンケート(IC)】,その他
"【機種】ｉＰｈｏｎｅ　１４．２【カテゴリ】ｄフォト【事象の概要】クラウドに預けている動画の一部が再生できない。【発生日時】／　：【再発有無】初事象【解決方法】ｄフォトアプリでの動画再生は動作保証外とご案内。
０９０３",操作説明
"【機種】機種不明（Ａｎｄｒｏｉｄ全般）【カテゴリ】ｄフォト【事象の概要】プリントアプリで「端末の写真」にはＳＤカードの写真も含まれるのか確認したい。【発生日時】１１／８　：
１１０３",サービス案内
"【機種】ＳＣ－０３Ｌ（Ｓ１０）【カテゴリ】ｄフォト【事象の概要】プリントサービス機能で注文完了後、注文履歴が即時に反映されないことがあるのか知りたい【発生日時】／　：
０７０４",サービス案内
"【機種】ＳＨ－０３Ｋ（ＡＱＲ２）【カテゴリ】▲その他ｄ系アプリ【事象の概要】ｄフォトのおあずかり写真に同じ写真がふたつあるが、どちらかを消してもよいのか【発生日時】／　：
０２０７",操作説明
"【機種】ｉＰｈｏｎｅ１１　ｉＯＳ１４．１【カテゴリ】ｄフォト【事象の概要】
１１月の写真が表示されない自動預かりされていない【発生日時】／　：【再発有無】初事象【解決方法】設定＞ｄフォト＞写真＞「すべての写真」に変更
１３０２",操作説明
"【機種】ｉＰｈｏｎｅ１１　ｉＯＳ１４．２【カテゴリ】ｄフォト【事象の概要】端末に保存されている写真が表示されない。【発生日時】１１／８　：【再発有無】初事象【解決方法】設定＞Ｄフォト＞写真＞すべての写真にチェック
１４０５",操作説明
"【機種】ＳＨ－０２Ｍ（ＡＱｓｅｎｓｅ３）【カテゴリ】ｄフォト【事象の概要】フォトブックを作成するとき、端末の写真に直近のものしか表示されなくなってしまった。過去の写真をどうやって追加するのか。フォトアプリでは表示される【発生日時】／　：【再発有無】初事象【解決方法】クラウドに保存されており、端末に写真がないためダウンロードから追加して選択して頂く
１３０４",操作説明
ＤＳ北習志野店で名義変更をした時にｄフォトを利用していることも伝えたつもりで、ＤＳスタッフの方にも「使えると思いますよー」といわれていたが、子供の写真が全て消えてしまった。言った言ってないにはなりたくないのですが、子供写真を復元してほしい。,その他
"【機種】ｉＰｈｏｎｅ８／１４．１【カテゴリ】ｄフォト【事象の概要】ｄフォトプリントの写真選択画面で端末の写真の一覧に「選択できる写真がありません」と表示され写真が表示されない【発生日時】１１／８【再発有無】初事象【解決方法】設定＞ｄフォトプリント＞写真＞選択した写真→すべての写真に変更し改善
０７０１",操作説明
ｄフォトにある大切な写真５０枚を、何かあったときのためにＳＤカードにもデータをいれたほうが良いと案内を以前受けたため、ＳＤカードへバックアップしたい。,操作説明
電話番号を変更しｄアカウントを変えたら、前に保存されていたｄフォトのクラウドデータがなくなってしまいました。もどせますか？ｉＰｈｏｎｅ１２,操作説明
［人名］瓜破の店舗は指導ができてなさすぎてお客様のサポートが全然できていない。その為、ｄフォトの写真が全部消えた【お客様アンケート(IC)】,その他
"【機種】ＳＣ－０２Ｋ（Ｓ９）【カテゴリ】データバックアップ　【事象の概要】誤って削除した写真を復旧したい。【発生日時】／　：【再発有無】初事象【解決方法】データコピー、フォト、ギャラリーからクラウド同期、ｄフォトを確認＞古いデータのみ
０６０２",操作説明
"【お客様情報】
・契約者情報未聴取。※ｄ－Ｔａｂとスマホ２台契約。

【問合せ内容】
・充電中、残量減っていく。
・ｄフォトの操作を知りたい。
・あんしん遠隔サポート希望。

【回答】
・操作確認の為、あんしん遠隔サポートへ転送。

【ＣＡＴ　Ｎｏ．】１４事象B: 操作・機能・設定",操作説明
"【機種】Ｊシリーズ　Ｆ－０４Ｊ　ビルドＯＳ未確認【カテゴリ】トラ）ｄフォト　【事象の概要】ｄフォトが開けない
・ｄフォト＞ログイン＞通信中にエラーが発生しました
・ｄアカウント設定アプリの再設定は可
・Ｗｉ－Ｆｉ接続【発生日時】／　：【再発有無】初事象［外部機器］
１４０１",ログイントラブル
"【機種】ｉＰｈｏｎｅ８【カテゴリ】ｄフォト　【事象の概要】ｄフォトプリントアプリを起動すると「認証できません　ｄ１３４」のエラー表示【発生日時】／　：【再発有無】初事象／再発【解決方法】ｄアカウント設定アプリをインストールし設定し改善
０２０４",ログイントラブル
"【機種】ＤＭ－０１Ｋ（Ｄｉｓｎｅｙ）【カテゴリ】ｄフォト【事象の概要】自動お預かりができていないときがあるので理由を知りたい。【発生日時】１１／７
１４０２",操作説明
